id,destino,pais,aerolinea
1,ALICANTE-ELCHE (ALC),ESPAÑA,VOLOTEA
2,AMSTERDAM /SCHIPHOL (AMS),HOLANDA,K.L.M. ROYAL DUTCH AIRLINES
3,BARCELONA-EL PRAT JOSEP TARRADELLAS (BCN),ESPAÑA,VUELING AIRLINES
4,BRUSELAS (BRU),BELGICA,VOLOTEA
5,CASTELLÓN (CDT),ESPAÑA,VOLOTEA
6,DUBLIN (DUB),IRLANDA,AER LINGUS
7,FRANKFURT (FRA),ALEMANIA,LUFTHANSA
8,FUERTEVENTURA (FUE),ESPAÑA,VOLOTEA
9,GRAN CANARIA (LPA),ESPAÑA,VOLOTEA
10,GRANADA-JAÉN F.G.L. (GRX),ESPAÑA,VOLOTEA
11,IBIZA (IBZ),ESPAÑA,VOLOTEA
12,JEREZ DE LA FRONTERA (XRY),ESPAÑA,VOLOTEA
13,LANZAROTE CÉSAR MANRIQUE (ACE),ESPAÑA,VOLOTEA
14,LISBOA (LIS),PORTUGAL,VOLOTEA
15,LONDRES /GATWICK (LGW),REINO UNIDO,VUELING AIRLINES
16,MADRID-BARAJAS ADOLFO SUÁREZ (MAD),ESPAÑA,IBERIA
17,MALAGA-COSTA DEL SOL (AGP),ESPAÑA,VOLOTEA
18,MENORCA (MAH),ESPAÑA,VOLOTEA
19,MILAN/BERGAMO (BGY),ITALIA,VOLOTEA
20,MURCIA INTERNACIONAL (RMU),ESPAÑA,VOLOTEA
21,OPORTO (OPO),PORTUGAL,VOLOTEA
22,PALMA DE MALLORCA (PMI),ESPAÑA,VOLOTEA
23,PARIS /ORLY (ORY),FRANCIA,VOLOTEA
24,ROMA /FIUMICINO (FCO),ITALIA,VOLOTEA
25,SEVILLA (SVQ),ESPAÑA,VOLOTEA
26,TENERIFE NORTE-C. LA LAGUNA (TFN),ESPAÑA,BINTER CANARIAS
27,TENERIFE SUR (TFS),ESPAÑA,VOLOTEA
28,VALENCIA (VLC),ESPAÑA,VOLOTEA
